"origen";"especie";"rubro_altair";"amount";"nomb";"ddate";"mat";"isin";"tc";"ocig";"gros";"rnm";"partition_date"
Cartera TRD;TTC6O;"1210013";609292744.5;ON TECPETROL C6;"45670";MAT3;ARTECP560073;"032";;;;"2024-03-27"
especies_manual;T3X5C;"1210447";416422650000;BONCER 4,50%;"45826";MAT4;ARARGE320DU2;"032";;;;"2024-03-27"
Cartera INV;TLCAO;"1214559";2766041088;ON TELECOM CL10;"45818";MAT4;ARTECO5600C4;"032";;;;"2024-03-27"
especies_manual;DICP;"3219064";-362850048;DISC $ LEY ARG;"48944";MAT5;ARARGE03E121;"032";;;;"2024-03-27"
Cartera ALC;BB37X;"1250401";6415449.457256968;BONO PBA BB37X;"50284";MAT5;XS2385151811;"840";;;;"2024-03-27"
Cartera TRD;MGCKO;"1210013";1053640000;ON PAMPA CL19;"45716";MAT3;AR0035787495;"032";;;;"2024-03-27"
Cartera TRD;TYCYO;"1210013";340181923.5;ON TOYOTA CL 32;"45697";MAT3;ARTCFA5600T4;"032";;;;"2024-03-27"
Cartera INV;PNC10O;"1214558";3291435544.1744;ON PAE CL 10;"45756";MAT4;ARAXIO5600I8;"032";;;;"2024-03-27"
especies_manual;T2X5P;"1711432";4800175185;BONCER +4,25%;"45702";MAT3;ARARGE320DI7;"032";;;;"2024-03-27"
especies_manual;T2X5P;"1210447";298889813695;BONCER +4,25%;"45702";MAT3;ARARGE320DI7;"032";;;;"2024-03-27"
Cartera ALC;T2X5P;"1210414";138856168590.30484;BONCER +4,25%;"45702";MAT3;ARARGE320DI7;"032";;;;"2024-03-27"
Cartera ALC;DICPCD;"1210350";144366846.22272;DIS $ LEY ARG;"48944";MAT5;ARARGE03E121;"032";;;;"2024-03-27"
Cartera TRD;CS43O;"1210013";233000000;ON CRESUD CL43;"45674";MAT3;AR0517981244;"032";;;;"2024-03-27"
Cartera TRD;TDG24;"1210086";558173700;TDG24;"45534";MAT3;ARARGE320DW8;"032";;;;"2024-03-27"
Cartera INV;RCCKO;"1214550";1882785806.5952;ON ARCOR12/5/24;"45425";MAT2;ARARCS5600G8;"032";;;;"2024-03-27"
Cartera TRD;T3X4P;"1210005";615643447.7325;BONCER +3,75%;"45396";MAT2;ARARGE320DG1;"032";;;;"2024-03-27"
especies_manual;BPOC7;"1258302";2487452824.79;BOPREAL S 1C;"46691";MAT5;AR0763285209;"840";;;;"2024-03-27"
Cartera INV;TN61O;"1214540";2285400000;ON TN CL61;"46058";MAT4;AR0450692584;"032";;;;"2024-03-27"
Cartera INV;TTC5O;"1214564";4325400000;ON TEC C5;"45489";MAT3;ARTECP560065;"032";;;;"2024-03-27"
Cartera INV;MDSVS;"1210161";617289310.1114;TD MDZ SVS;"45829";MAT4;ARPMZA320142;"032";;;;"2024-03-27"
Cartera TRD;ARN38D;"1250405";4241655.0;BONO U$ 2038;"50414";MAT5;US040114HU71;"840";;;;"2024-03-27"
Cartera TRD;ARN41E;"1250405";58289663.5139938;BONO EU 2041;"51691";MAT5;XS2177365363;"978";;;;"2024-03-27"
Cartera ALC;BA37X;"1250401";1167072.6361669905;BONO PBA BA37X;"50284";MAT5;XS2385150417;"840";;;;"2024-03-27"
Cartera ALC;TB27C;"1210416";5335502425.3375;TB27C;"46714";MAT5;ARARGE320D33;"032";;;;"2024-03-27"
Cartera INV;LDCEO;"1214545";1216600000;ON LEDESMA CL13;"45688";MAT3;ARLEDE5600F3;"032";;;;"2024-03-27"
Cartera TRD;TN59O;"1210013";717521.449365;ON TN CL 59;"45500";MAT3;ARTANA560196;"032";;;;"2024-03-27"
Cartera TRD;T4X4P;"1210005";3177944237.205;BONCER +4 %;"45579";MAT3;ARARGE320DH9;"032";;;;"2024-03-27"
Cartera TRD;T6X4P;"1210005";11672091222.985268;BONCER V200524;"45432";MAT2;ARARGE320E65;"032";;;;"2024-03-27"
especies_manual;TG25C;"1210447";148315200000;BONTE 25;"45892";MAT4;ARARGE320DS6;"032";;;;"2024-03-27"
Cartera TRD;AS30D;"1250405";48795106.0818309;BONUSD2030LA;"47673";MAT5;ARARGE3209S6;"840";;;;"2024-03-27"
Cartera TRD;X20Y4;"1210005";3362725353.864;LECER V20/05/24;"45432";MAT2;AR0125910452;"032";;;;"2024-03-27"
Cartera INV;RCCLO;"1214550";3022741611.643;ON ARCOR12/5/25;"45789";MAT4;ARARCS5600H6;"032";;;;"2024-03-27"
Cartera TRD;TV25D;"1250433";147878121;TV25D;"45747";MAT4;ARARGE320EC8;"840";;;;"2024-03-27"
Cartera TRD;T1X4;"1210005";320519818.96030176;BONOCER 26/7/24;"45499";MAT3;ARARGE320AI3;"032";;;;"2024-03-27"
Cartera INV;PLZC6O;"1214541";600624532.01088;ON PLAZA UVA C6;"45528";MAT3;ARPLAZ560060;"032";;;;"2024-03-27"
Cartera INV;TN60O;"1214540";1744866210;ON TN CL60;"45599";MAT3;AR0740853723;"032";;;;"2024-03-27"
Cartera TRD;TVPP;"1210005";1225.105000001491;PBI EN ARP ARG;"49658";MAT5;ARARGE03E147;"032";;;;"2024-03-27"
especies_manual;S31E5;"1411063";512500000;LECAP V31/01/25;"45688";MAT3;AR0104841496;"032";;;;"2024-03-27"
Cartera INV;BVCEO;"1214568";204720000;ON BST CL13;"45459";MAT2;ARBSTR5602E1;"032";;;;"2024-03-27"
Cartera ALC;TV24;"1250435";695424092;BONO TV24D;"45412";MAT2;ARARGE320C18;"840";;;;"2024-03-27"
Cartera ALC;TZX26;"1210393";64290100000;BONCER V30/6/26;"46203";MAT5;AR0643350728;"032";;;;"2024-03-27"
Cartera TRD;TZX26;"1210005";120190000;BONCER V30/6/26;"46203";MAT5;AR0643350728;"032";;;;"2024-03-27"
Cartera INV;BAL25;"1214569";3241280000;LT MUNI CORDOBA;"45732";MAT3;AR0213780296;"032";;;;"2024-03-27"
Cartera TRD;LMS4O;"1250434";187021600;ON ALUAR CL 4;"45907";MAT4;ARALUA560039;"840";;;;"2024-03-27"
