ALC;PT2X5;;1210375;193500000000;0.0;2023-03-10;2023-03-15;2025-02-01;2;PUT T2X5P;45689;MAT2;AR00000PT2X5;032;;;
ALC;TY27P;;1210416;5000000000;5699398645;2022-05-23;2022-05-30;2027-05-23;2;BOTE 27;46530;MAT2;ARARGE320C91;032;;;
ALC;TY27P;;1210446;41470000000;47270812355.71;2022-05-23;2022-05-30;2027-05-23;2;BOTE 27;46530;MAT2;ARARGE320C91;032;;;
INV;PNOCO;;1214539;1000000000;1144400000;2022-08-04;2022-08-04;2024-08-04;2;PNOCO CL 23;45508;MAT2;ARAXIO5600U3;032;;;
TRD;RCCNO;;1210013;560000000;694016504.72;2023-10-06;;2024-10-06;2;ON ARCOR CL 22;45571;MAT2;AR0421372274;032;;;
INV;BSCPO;;1214562;2000000000;2303800000;2024-02-02;;2025-05-02;2;ON BSF V 2/2/25;45779;MAT2;AR0957586362;032;;;
INV;VWCAO;;1214570;1000000000;1218600000;2023-10-12;;2024-10-12;2;ON VW FINAN SER;45577;MAT2;AR0806991300;032;;;
ALC;PT4X5;;1210375;3000000000;0.0;2023-11-22;;2025-11-22;2;PUT T4X5;45983;MAT2;AR0000PT4X5;032;;;
ALC;PT4X5;;1210375;3000000000;0.0;2023-11-22;;2025-11-22;2;PUT T4X5;45983;MAT2;AR0000PT4X5;032;;;
ALC;BPOB7;;12583022;2773506.0;2168216.05;2024-02-28;;2027-10-31;2;BOPREAL S 1B;46691;MAT2;AR0772251226;840;;;
INV;TTC6O;;1214564;4227575000;5100991995;2023-07-13;;2025-01-13;2;ON TECPETROL C6;45670;MAT2;ARTECP560073;032;;;
TRD;TTC6O;;1210013;500000000;609292744.5;2023-07-13;;2025-01-13;2;ON TECPETROL C6;45670;MAT2;ARTECP560073;032;;;
INV;LDCEO;;1214545;1400000000;1216600000;2023-07-31;;2025-01-31;2;ON LEDESMA CL13;45688;MAT2;ARLEDE5600F3;032;;;
INV;RCCKO;;1214550;1691935484;1882785806.6;2023-05-12;;2024-05-13;2;ON ARCOR12/5/24;45425;MAT2;ARARCS5600G8;032;;;
ALC;T3X5C;;1210447;143500000000;416422650000;2023-05-31;;2025-06-18;2;BONCER 4,50%;45826;MAT2;ARARGE320DU2;032;;;
ALC;PZX26;;1210375;40600000000;0.0;2024-02-21;;2026-06-15;2;PUT PZX26;46188;MAT2;AR0000PZX26;032;;;
TRD;PZX26;;1210375;12100000000;0.0;2024-02-21;;2026-06-15;2;PUT PZX26;46188;MAT2;AR0000PZX26;032;;;
ALC;PZX26;;1210375;40600000000;0.0;2024-02-21;;2026-06-15;2;PUT PZX26;46188;MAT2;AR0000PZX26;032;;;
TRD;PZX26;;1210375;12100000000;0.0;2024-02-21;;2026-06-15;2;PUT PZX26;46188;MAT2;AR0000PZX26;032;;;
INV;T542O;;1214540;600000000;744900000;2022-07-05;;2024-07-05;2;ON TJ NARA 54 2;45478;MAT2;ARTANA560139;032;;;
ALC;TZX26;;1210393;40600000000;64290100000;2024-02-01;;2026-06-30;2;BONCER V30/6/26;46203;MAT2;AR0643350728;032;;;
TRD;TZX26;;1210005;70000000;120190000;2024-02-01;;2026-06-30;2;BONCER V30/6/26;46203;MAT2;AR0643350728;032;;;
TRD;TDG24;;1210086;590660.0;558173700;2023-06-13;;2024-08-30;1;TDG24;45534;MAT2;ARARGE320DW8;032;;;
ALC;TDG24;;1751369;15000000;13026009769.5;2023-06-13;;2024-08-30;2;TDG24;45534;MAT2;ARARGE320DW8;032;;;
ALC;TDG24;;1210415;16500000;14328610746.45;2023-06-13;;2024-08-30;2;TDG24;45534;MAT2;ARARGE320DW8;032;;;
ALC;TDG24;;1751368;60000000;52104039078;2023-06-13;;2024-08-30;2;TDG24;45534;MAT2;ARARGE320DW8;032;;;
TRD;TZX25;;1210005;250000000;381562500;2024-02-28;;2025-06-30;1;BONCER V30/6/25;45838;MAT2;AR0796212790;032;;;
INV;PNSCO;;1214539;1000000000;1135000000;2023-08-07;;2024-08-05;2;ON PAE CL27;45509;MAT2;ARAXIO5600Y5;032;;;
INV;RCCLO;;1214550;2708064515;3022741611.64;2023-05-12;;2025-05-12;2;ON ARCOR12/5/25;45789;MAT2;ARARCS5600H6;032;;;
TRD;RCCLO;;1210013;650000000;725237500;2023-05-12;;2025-05-12;2;ON ARCOR12/5/25;45789;MAT2;ARARCS5600H6;032;;;
TRD;T6X4P;;1210005;3984518989;11672091222.99;2023-08-14;;2024-05-20;1;BONCER V200524;45432;MAT2;ARARGE320E65;032;;;
TRD;X20Y4;;1210005;1880718878;3362725353.86;2024-01-18;;2024-05-20;1;LECER V20/05/24;45432;MAT2;AR0125910452;032;;;
ALC;X20Y4;;1411060;500000000;894000000;2024-01-18;;2024-05-20;1;LECER V20/05/24;45432;MAT2;AR0125910452;032;;;
INV;BSCOO;;1214562;303758199;364084577.32;2023-07-19;;2024-07-19;2;ON BSF CL23;45492;MAT2;ARBSFI5600C7;032;;;
TRD;TDJ24;;1210086;503889.0;499353999;2023-09-18;;2024-06-30;1;TDJ24;45473;MAT2;ARARGE320EB0;032;;;
ALC;PDG24;;1210375;91500000;0.0;2023-09-04;;2024-08-09;2;PUT PDG24;45513;MAT2;AR0000PDG24;032;;;
ALC;PDG24;;1210375;91500000;0.0;2023-09-04;;2024-08-09;2;PUT PDG24;45513;MAT2;AR0000PDG24;032;;;
TRD;T2V4C;;1250433;162070.0;143594020;2023-05-19;;2024-09-30;1;T2V4C;45565;MAT2;ARARGE320DR8;840;;;
ALC;BA37X;;1250401;2663.0;1167072.64;2021-11-01;;2037-09-01;2;BONO PBA BA37X;50284;MAT2;XS2385150417;840;;;
INV;MGCJO;;1257702;5000000.0;5013000.0;2023-09-08;;2025-09-08;2;ON PAMPA E CL18;45908;MAT2;ARPAMP5600K9;840;;;
